,pregunta,intencion,clasificacion
0,¿Cuántos cuadros hay en la colección?,SQL,SQL
1,¿Qué pinturas fueron creadas en 1905?,SQL,SQL
2,¿Cuántas esculturas hay en el museo?,SQL,SQL
3,Dame las obras de Sorolla con temática marina.,SQL,SQL
4,¿Qué autores tienen más de 5 obras en la colección?,SQL,SQL
5,¿Cuántas obras hay por colección?,SQL,SQL
6,¿Qué obras están sin fecha conocida?,SQL,SQL
7,¿Cuáles son las obras más antiguas del museo?,SQL,SQL
8,¿Cuántas pinturas hay con técnica al óleo?,SQL,SQL
9,¿Qué obras fueron donadas?,SQL,SQL
10,¿Qué obras están firmadas por Sorolla?,SQL,SQL
11,¿Qué representa el cuadro Madre?,SQL,SQL
12,¿Qué obras fueron producidas en Valencia?,SQL,SQL
13,Háblame de pinturas que mencionen Jávea.,SQL,SQL
14,Hábalame de cartas sobre la hemiplejía de Sorolla.,SQL,RAG
15,¿Qué objetos tienen inscripciones visibles?,SQL,SQL
16,Háblame de las obras con temática playa.,SQL,RAG
17,¿Qué materiales se usan con más frecuencia en las obras?,SQL,SQL
18,¿Cuántas obras datan del siglo XIX?,SQL,SQL
19,¿Qué autores tienen obras firmadas?,SQL,SQL
20,¿Qué cartas hay de 1920?,SQL,SQL
21,Enumera los 10 conceptos de iconografía más típcios de las pinturas de Sorolla.,SQL,SQL
22,Enséñame alguna fotografía de la ciudad de San Sebastián,SQL,NO
23,¿Cuántas piezas tienen soporte de papel?,SQL,SQL
24,¿Qué obras tienen estilo modernista?,SQL,SQL
25,¿Qué esculturas son de bronce?,SQL,SQL
26,Enséñame fotografías sobre la familia Sorolla,SQL,SQL
27,Enséñame fotografías sobre Jávea,SQL,NO
28,¿Qué obras incluyen elementos religiosos?,SQL,SQL
29,¿Qué obras forman parte de conjuntos?,SQL,SQL
30,¿Cuántas piezas hay sin autor conocido?,SQL,SQL
31,¿Qué obras están relacionadas con el mar?,SQL,SQL
32,Enumera las 10 técnicas más usadas en la pintura de Sorolla.,SQL,RAG
33,¿Quién es el autor con más fotografías en la colección?,SQL,SQL
34,Estoy buscando una pintura con temática floral.,SQL,SQL
35,¿Quién fue Joaquín Sorolla?,RAG,RAG
36,¿Qué importancia tiene la luz en la pintura de Sorolla?,RAG,RAG
37,¿Cuál es la historia del Museo Sorolla?,RAG,RAG
38,¿Dónde se encuentra la casa de Sorolla?,RAG,RAG
39,Enumera 5 fechas de la vida de Joaquín Sorolla,RAG,RAG
40,¿Qué influencia tuvo Sorolla en el arte español?,RAG,RAG
41,¿Quiénes fueron los amigos de Sorolla?,RAG,RAG
42,¿Cómo se conserva la colección actualmente?,RAG,SQL
43,¿Qué relación tenía Sorolla con Valencia?,RAG,RAG
44,¿Cuál es el contexto histórico del impresionismo?,RAG,NO
45,¿Qué relación tuvo Sorolla con otros artistas de su época?,RAG,RAG
46,¿Cómo ha evolucionado el Museo Sorolla desde su fundación?,RAG,RAG
47,¿Qué técnicas de conservación se aplican a las obras?,RAG,SQL
48,¿Qué papel tuvo la familia de Sorolla en su carrera?,RAG,RAG
49,Háblame de la estructura del Museo Sorolla.,RAG,RAG
50,Háblame de las salas del Museo Sorolla.,RAG,RAG
51,¿Cuál es la simbología del mar en su pintura?,RAG,RAG
52,¿Qué técnicas innovadoras introdujo Sorolla en su obra?,RAG,RAG
53,¿Qué relación tenía Sorolla con la fotografía?,RAG,RAG
54,¿Qué premios recibió Sorolla durante su carrera?,RAG,RAG
55,Resume la historia de Joaquín Sorolla en 5 frases.,RAG,RAG
56,Resume la historia del Museo Sorolla en 5 frases.,RAG,RAG
57,Háblame de la infancia de Joaquín Sorolla.,RAG,RAG
58,Háblame de la familia de Joaquín Sorolla.,RAG,RAG
59,Háblame del estilo artístico de Joaquín Sorolla.,RAG,RAG
60,Háblame de la relación entre Joaquín Sorolla y su esposa Clotilde.,RAG,RAG
61,¿Cómo se llamaban hijos tuvo Joaquín Sorolla?,RAG,RAG
